time; video bitrate Kbps; audio bitrate Kbps; throttle bitrate (Kbps); id; video seconds
2023-01-25 21:56:24.000; 1500; 320; 4000; 00018; 57.579845
2023-01-25 21:56:26.000; 1500; 320; 4000; 00019; 60.135075
2023-01-25 21:56:28.000; 1500; 320; 4000; 00019; 61.158166
2023-01-25 21:56:31.000; 1500; 320; 4000; 00020; 64.731946
2023-01-25 21:56:32.000; 1500; 320; 4000; 00020; 65.754764
2023-01-25 21:56:35.000; 1500; 320; 4000; 00021; 68.308277
2023-01-25 21:56:36.000; 1500; 320; 4000; 00021; 70.369474
2023-01-25 21:56:39.000; 3200; 320; 4000; 00020; 72.925534
2023-01-25 21:56:41.000; 3200; 320; 4000; 00021; 75.483042
2023-01-25 21:56:45.000; 2200; 320; 4000; 00022; 79.062918
2023-01-25 21:56:47.000; 2200; 320; 4000; 00023; 81.108426
2023-01-25 21:56:47.000; 2200; 320; 4000; 00023; 81.108426
2023-01-25 21:56:49.000; 2200; 320; 4000; 00024; 82.642216
2023-01-25 21:56:49.000; 2200; 320; 4000; 00024; 82.642216
2023-01-25 21:56:50.000; 2200; 320; 4000; 00024; 84.177501
2023-01-25 21:56:51.000; 2200; 320; 4000; 00025; 84.177501
2023-01-25 21:56:52.000; 2200; 320; 4000; 00025; 85.199347
2023-01-25 21:56:55.000; 2200; 320; 2000; 00026; 88.271629
2023-01-25 21:56:57.000; 2200; 320; 2000; 00026; 90.839887
2023-01-25 21:56:58.000; 2200; 320; 2000; 00027; 92.371487
2023-01-25 21:57:02.000; 2200; 320; 2000; 00027; 95.439124
2023-01-25 21:57:03.000; 2200; 320; 2000; 00028; 96.460405
2023-01-25 21:57:05.000; 2200; 320; 2000; 00028; 99.017486
2023-01-25 21:57:06.000; 2200; 320; 2000; 00029; 100.038798
2023-01-25 21:57:10.000; 2200; 320; 2000; 00029; 103.635774
2023-01-25 21:57:10.000; 2200; 320; 2000; 00030; 104.145229
2023-01-25 21:57:14.000; 2200; 320; 2000; 00030; 107.19127
2023-01-25 21:57:14.000; 2200; 320; 2000; 00031; 108.214819
2023-01-25 21:57:18.000; 2200; 320; 2000; 00031; 112.307517
2023-01-25 21:57:18.000; 2200; 320; 2000; 00032; 112.307517
2023-01-25 21:57:22.000; 2200; 320; 2000; 00032; 116.415885
2023-01-25 21:57:22.000; 2200; 320; 2000; 00033; 116.415885
2023-01-25 21:57:26.000; 2200; 320; 2000; 00033; 119.485402
2023-01-25 21:57:27.000; 2200; 320; 2000; 00034; 120.504192
2023-01-25 21:57:29.000; 2200; 320; 2000; 00034; 123.061684
2023-01-25 21:57:31.000; 2200; 320; 2000; 00035; 124.595748
2023-01-25 21:57:34.000; 2200; 320; 2000; 00035; 127.6636
2023-01-25 21:57:34.000; 2200; 320; 2000; 00036; 128.175168
2023-01-25 21:57:38.000; 2200; 320; 2000; 00036; 131.243762
2023-01-25 21:57:38.000; 2200; 320; 2000; 00037; 132.267117
2023-01-25 21:57:42.000; 2200; 320; 2000; 00037; 135.33517
2023-01-25 21:57:42.000; 2200; 320; 2000; 00038; 136.358123
2023-01-25 21:57:45.000; 2200; 320; 2000; 00038; 138.403344
2023-01-25 21:57:47.000; 2200; 320; 2000; 00039; 140.462818
2023-01-25 21:57:50.000; 2200; 320; 2000; 00039; 144.044769
2023-01-25 21:57:51.000; 2200; 320; 2000; 00040; 144.556823
2023-01-25 21:57:54.000; 2200; 320; 2000; 00040; 147.638155
2023-01-25 21:57:55.000; 2200; 320; 2000; 00041; 148.662892
2023-01-25 21:57:57.000; 2200; 320; 2000; 00041; 151.218799
2023-01-25 21:57:59.000; 2200; 320; 2000; 00042; 152.754808
2023-01-25 21:58:02.000; 2200; 320; 2000; 00042; 155.310229
