time; buffer(s); video seconds; throttling bandwidth; latency
2023-01-25 21:56:31.216; 11.781778000000003; 64.221222; 500; 15
2023-01-25 21:56:31.728; 11.271054000000007; 64.731946; 500; 15
2023-01-25 21:56:32.238; 10.761190999999997; 65.241809; 500; 15
2023-01-25 21:56:32.750; 10.248236000000006; 65.754764; 500; 15
2023-01-25 21:56:33.261; 13.737842999999998; 66.265157; 500; 15
2023-01-25 21:56:33.773; 13.225750000000005; 66.77725; 500; 15
2023-01-25 21:56:34.283; 12.716089999999994; 67.28691; 500; 15
2023-01-25 21:56:34.793; 12.205430000000007; 67.79757; 500; 15
2023-01-25 21:56:35.305; 11.694722999999996; 68.308277; 500; 15
2023-01-25 21:56:35.815; 11.183614000000006; 68.819386; 500; 15
2023-01-25 21:56:36.327; 10.672543000000005; 69.330457; 500; 15
2023-01-25 21:56:36.843; 10.156510999999995; 69.846489; 500; 15
2023-01-25 21:56:37.365; 13.630526000000003; 70.369474; 500; 15
2023-01-25 21:56:37.876; 13.122961000000004; 70.880039; 500; 15
2023-01-25 21:56:38.386; 12.611773; 71.391227; 500; 15
2023-01-25 21:56:38.897; 12.100859999999997; 71.90214; 500; 15
2023-01-25 21:56:39.409; 11.589153999999994; 72.413846; 500; 15
2023-01-25 21:56:39.921; 11.077466000000001; 72.925534; 500; 15
2023-01-25 21:56:40.432; 10.566524999999999; 73.436475; 500; 15
2023-01-25 21:56:40.943; 10.055689000000001; 73.947311; 500; 15
2023-01-25 21:56:41.456; 9.543493999999995; 74.459506; 500; 15
2023-01-25 21:56:41.967; 9.031475; 74.971525; 500; 15
2023-01-25 21:56:42.479; 8.519958000000003; 75.483042; 500; 15
2023-01-25 21:56:42.990; 8.008847000000003; 75.994153; 500; 15
2023-01-25 21:56:43.502; 7.496813000000003; 76.506187; 500; 15
2023-01-25 21:56:44.014; 6.985659999999996; 77.01734; 500; 15
2023-01-25 21:56:44.524; 6.474632; 77.528368; 500; 15
2023-01-25 21:56:45.036; 5.962425999999994; 78.040574; 500; 15
2023-01-25 21:56:45.548; 5.451201999999995; 78.551798; 500; 15
2023-01-25 21:56:46.059; 4.940082000000004; 79.062918; 500; 15
2023-01-25 21:56:46.570; 4.428663; 79.574337; 500; 15
2023-01-25 21:56:47.081; 3.9175110000000046; 80.085489; 500; 15
2023-01-25 21:56:47.592; 3.4061360000000036; 80.596864; 500; 15
2023-01-25 21:56:48.104; 6.88057400000001; 81.108426; 500; 15
2023-01-25 21:56:48.616; 6.369427999999999; 81.619572; 500; 15
2023-01-25 21:56:49.127; 5.871032999999997; 82.131967; 500; 15
2023-01-25 21:56:49.638; 9.35378399999999; 82.642216; 500; 15
2023-01-25 21:56:50.150; 8.841674999999995; 83.154325; 500; 15
2023-01-25 21:56:50.662; 8.336443000000003; 83.666557; 500; 15
2023-01-25 21:56:51.173; 11.819498999999993; 84.177501; 500; 15
2023-01-25 21:56:51.685; 11.314853; 84.688147; 500; 15
2023-01-25 21:56:52.195; 10.803652999999997; 85.199347; 500; 15
2023-01-25 21:56:52.707; 14.286610999999994; 85.710389; 500; 15
2023-01-25 21:56:53.218; 13.781306999999998; 86.221693; 500; 15
2023-01-25 21:56:53.729; 13.269133999999994; 86.733866; 500; 15
2023-01-25 21:56:54.240; 12.758685; 87.244315; 500; 15
2023-01-25 21:56:54.751; 12.248155999999994; 87.754844; 500; 15
2023-01-25 21:56:55.267; 11.731370999999996; 88.271629; 250; 20
2023-01-25 21:56:55.790; 11.209512000000004; 88.793488; 250; 20
2023-01-25 21:56:56.302; 10.697429999999997; 89.30557; 250; 20
2023-01-25 21:56:56.812; 10.186227000000002; 89.816773; 250; 20
2023-01-25 21:56:57.324; 9.675150000000002; 90.32785; 250; 20
2023-01-25 21:56:57.836; 13.152113; 90.839887; 250; 20
2023-01-25 21:56:58.347; 12.640292000000002; 91.351708; 250; 20
2023-01-25 21:56:58.857; 12.141552000000004; 91.861448; 250; 20
2023-01-25 21:56:59.367; 11.631512999999998; 92.371487; 250; 20
2023-01-25 21:56:59.880; 11.119463999999994; 92.883536; 250; 20
2023-01-25 21:57:00.390; 10.608082999999993; 93.394917; 250; 20
2023-01-25 21:57:00.901; 10.098310999999995; 93.904689; 250; 20
2023-01-25 21:57:01.412; 9.586129999999997; 94.41687; 250; 20
2023-01-25 21:57:01.925; 9.075299999999999; 94.9277; 250; 20
2023-01-25 21:57:02.434; 12.552875999999998; 95.439124; 250; 20
2023-01-25 21:57:02.946; 12.041200000000003; 95.9508; 250; 20
2023-01-25 21:57:03.456; 11.542595000000006; 96.460405; 250; 20
2023-01-25 21:57:03.968; 11.031064999999998; 96.971935; 250; 20
2023-01-25 21:57:04.480; 10.51867; 97.48433; 250; 20
2023-01-25 21:57:04.992; 10.007168000000007; 97.995832; 250; 20
2023-01-25 21:57:05.501; 9.497180999999998; 98.505819; 250; 20
2023-01-25 21:57:06.014; 8.985513999999995; 99.017486; 250; 20
2023-01-25 21:57:06.524; 12.457712; 99.528288; 250; 20
2023-01-25 21:57:07.034; 11.964202; 100.038798; 250; 20
2023-01-25 21:57:07.547; 11.451822000000007; 100.551178; 250; 20
2023-01-25 21:57:08.058; 10.940624; 101.062376; 250; 20
2023-01-25 21:57:08.572; 10.427892; 101.575108; 250; 20
2023-01-25 21:57:09.081; 9.918166999999997; 102.084833; 250; 20
2023-01-25 21:57:09.594; 9.404589000000001; 102.598411; 250; 20
2023-01-25 21:57:10.108; 8.889971000000003; 103.113029; 250; 20
2023-01-25 21:57:10.632; 8.367226000000002; 103.635774; 250; 20
2023-01-25 21:57:11.141; 11.851771; 104.145229; 250; 20
2023-01-25 21:57:11.653; 11.366439; 104.636561; 250; 20
2023-01-25 21:57:12.166; 10.854249999999993; 105.14875; 250; 20
2023-01-25 21:57:12.676; 10.344053000000002; 105.658947; 250; 20
2023-01-25 21:57:13.188; 9.832847000000001; 106.170153; 250; 20
2023-01-25 21:57:13.698; 9.322194999999994; 106.680805; 250; 20
2023-01-25 21:57:14.208; 12.809730000000002; 107.19127; 250; 20
2023-01-25 21:57:14.720; 12.297760000000011; 107.70324; 250; 20
2023-01-25 21:57:15.232; 11.788180999999994; 108.214819; 250; 20
2023-01-25 21:57:15.743; 11.276611000000003; 108.726389; 250; 20
2023-01-25 21:57:16.255; 10.765624000000003; 109.237376; 250; 20
2023-01-25 21:57:16.767; 10.253495999999998; 109.749504; 250; 20
2023-01-25 21:57:17.279; 9.740859; 110.262141; 250; 20
2023-01-25 21:57:17.789; 9.231733000000006; 110.771267; 250; 20
2023-01-25 21:57:18.302; 8.718384999999998; 111.284615; 250; 20
2023-01-25 21:57:18.812; 12.202220999999994; 111.794779; 250; 20
2023-01-25 21:57:19.324; 11.689482999999996; 112.307517; 250; 20
2023-01-25 21:57:19.837; 11.178123; 112.818877; 250; 20
2023-01-25 21:57:20.347; 10.673963999999998; 113.329036; 250; 20
2023-01-25 21:57:20.859; 10.161502999999996; 113.841497; 250; 20
2023-01-25 21:57:21.371; 9.649336000000005; 114.353664; 250; 20
2023-01-25 21:57:21.882; 9.137334999999993; 114.865665; 250; 20
2023-01-25 21:57:22.393; 8.626912000000004; 115.376088; 250; 20
2023-01-25 21:57:22.913; 8.111323999999996; 115.891676; 250; 20
2023-01-25 21:57:23.433; 11.573115000000001; 116.415885; 250; 20
2023-01-25 21:57:23.942; 11.063628000000008; 116.925372; 250; 20
2023-01-25 21:57:24.454; 10.566207999999989; 117.436792; 250; 20
2023-01-25 21:57:24.968; 10.052502999999987; 117.950497; 250; 20
