time; buffer(s); video seconds
2023-01-24 18:41:08.430; 60.77698299999999; 123.226017
2023-01-24 18:41:08.941; 60.26471699999999; 123.738283
2023-01-24 18:41:09.454; 59.752020999999985; 124.250979
2023-01-24 18:41:09.965; 59.24143799999999; 124.761562
2023-01-24 18:41:10.477; 58.729179999999985; 125.27382
2023-01-24 18:41:10.989; 58.21862999999999; 125.78437
2023-01-24 18:41:11.502; 57.70529899999998; 126.297701
2023-01-24 18:41:12.011; 61.183713999999995; 126.808286
2023-01-24 18:41:12.522; 60.683785999999984; 127.319214
2023-01-24 18:41:13.033; 60.17234899999998; 127.830651
2023-01-24 18:41:13.545; 59.66060299999998; 128.342397
2023-01-24 18:41:14.057; 59.14957799999999; 128.853422
2023-01-24 18:41:14.572; 58.63485799999998; 129.368142
2023-01-24 18:41:15.080; 58.12632599999998; 129.876674
2023-01-24 18:41:15.592; 57.61376999999999; 130.38923
2023-01-24 18:41:16.102; 61.094663; 130.899337
2023-01-24 18:41:16.614; 60.592164999999994; 131.410835
2023-01-24 18:41:17.130; 60.07705899999999; 131.925941
2023-01-24 18:41:17.640; 59.566418; 132.436582
2023-01-24 18:41:18.149; 59.057097999999996; 132.945902
2023-01-24 18:41:18.661; 58.54575399999999; 133.457246
2023-01-24 18:41:19.171; 62.03148200000001; 133.968518
2023-01-24 18:41:19.683; 61.523484999999994; 134.479515
2023-01-24 18:41:20.194; 61.01132899999999; 134.991671
2023-01-24 18:41:20.706; 60.50121499999997; 135.501785
2023-01-24 18:41:21.218; 59.989352; 136.013648
2023-01-24 18:41:21.729; 59.47706299999999; 136.525937
2023-01-24 18:41:22.241; 58.96534999999997; 137.03765
2023-01-24 18:41:22.753; 58.45309099999997; 137.549909
2023-01-24 18:41:23.264; 57.942278999999985; 138.060721
2023-01-24 18:41:23.775; 61.422196000000014; 138.571804
2023-01-24 18:41:24.286; 60.919669999999996; 139.08333
2023-01-24 18:41:24.800; 60.406548999999984; 139.596451
2023-01-24 18:41:25.309; 59.896386999999976; 140.106613
